# Table des pigments du Colour Index utilises par les gammes du catalogue.
#
# C'est le socle de tout le reste : sechage et pouvoir colorant sont des proprietes
# du pigment, pas de la marque. Les renseigner ici une fois evite de les redeviner
# pour chaque tube de chaque gamme.
#
# hex     : teinte en masse ton, indicative. Pour les oxydes de fer (PBr7, PR101...),
#           un meme code couvre des teintes tres differentes selon le gisement et la
#           cuisson : la valeur ci-dessous est un compromis, et les fichiers de gamme
#           precisent la teinte reelle tube par tube.
# drying  : FAST | MEDIUM | SLOW | VERY_SLOW
# opacity : TRANSPARENT | SEMI_TRANSPARENT | SEMI_OPAQUE | OPAQUE
# tinting : pouvoir colorant relatif, de 0,05 a 1
# tint    : couleur du pigment coupe de blanc de titane, une part pour neuf. COLONNE
#           FACULTATIVE. Quand elle est renseignee, le melange passe au modele de
#           Kubelka-Munk a deux constantes, seul capable de representer un pigment dont
#           le ton de masse et la teinte diluee divergent : le noir d'ivoire sort du tube
#           chaud et donne pourtant des gris froids.
#           Elle n'est remplie que la ou cette divergence est franche et connue, donc
#           surtout sur les pigments a ton de masse tres sombre et teinte coloree. Ailleurs
#           la colonne reste vide et le comportement est celui d'avant, inchange.
#           Ces valeurs sont estimees, pas mesurees : a corriger sur vos propres ecouvillons.
code;name;hex;opacity;drying;tinting;tint

# --- Blancs ---
PW1;Blanc de plomb (ceruse);#F6F3EA;OPAQUE;FAST;0.85
PW4;Blanc de zinc;#F7F7F5;SEMI_TRANSPARENT;VERY_SLOW;0.35
PW5;Lithopone;#F5F4F0;OPAQUE;SLOW;0.60
PW6;Blanc de titane;#F7F5F0;OPAQUE;SLOW;1.00
PW7;Sulfure de zinc;#F6F6F3;OPAQUE;SLOW;0.55
PW18;Carbonate de calcium (craie);#F2EFE9;TRANSPARENT;MEDIUM;0.10
PW21;Blanc fixe (sulfate de baryum);#F4F2EE;TRANSPARENT;MEDIUM;0.10
PW24;Hydroxyde d'aluminium (base de laque);#F4F2EF;TRANSPARENT;MEDIUM;0.05

# --- Noirs ---
PBk6;Noir de fumee;#1C1B1A;SEMI_OPAQUE;SLOW;0.95;#8C9098
PBk7;Noir de carbone;#171615;SEMI_OPAQUE;SLOW;1.00;#8A8E96
PBk9;Noir d'ivoire (noir d'os);#221F1C;SEMI_OPAQUE;SLOW;0.90;#8E9094
PBk11;Noir de mars (oxyde de fer);#1B1A19;OPAQUE;FAST;0.90;#93918D
PBk28;Noir de spinelle cuivre-chrome;#1A1A1C;OPAQUE;FAST;0.90
PBk31;Vert perylene;#1E2A22;TRANSPARENT;MEDIUM;0.90;#96A096
PBk19;Silicate d'aluminium hydrate (gris d'ardoise);#6E6E66;SEMI_OPAQUE;MEDIUM;0.30

# --- Terres et oxydes de fer ---
PBr6;Brun de mars;#5A3A22;OPAQUE;FAST;0.75;#BCA898
PBr7;Oxyde de fer naturel (terres);#6B4326;SEMI_OPAQUE;FAST;0.70;#C4B4A6
PBr33;Brun de chromite de zinc et de fer;#6B4A2A;OPAQUE;FAST;0.60
PY42;Oxyde de fer jaune synthetique (jaune de mars);#B8792A;SEMI_OPAQUE;FAST;0.65;#E6CFA4
PY43;Oxyde de fer jaune naturel (ocre jaune);#C08A34;SEMI_OPAQUE;MEDIUM;0.60;#E4D2B0
PY119;Brun de ferrite de zinc;#8A6B3A;OPAQUE;FAST;0.60
PR101;Oxyde de fer rouge synthetique;#8C3A22;OPAQUE;FAST;0.80;#D2A292
PR102;Oxyde de fer rouge naturel;#8E4128;SEMI_OPAQUE;FAST;0.70;#D0A496
PG23;Terre verte;#6B7A5A;TRANSPARENT;MEDIUM;0.30

# --- Jaunes ---
PY3;Jaune arylide clair (Hansa);#F5DC2A;SEMI_TRANSPARENT;SLOW;0.80
PY35;Jaune de cadmium;#F6C500;OPAQUE;VERY_SLOW;0.80;#F7E4A8
PY37;Jaune de cadmium (sulfure);#F5C000;OPAQUE;VERY_SLOW;0.80
PY40;Aureoline (jaune de cobalt);#F2C51F;TRANSPARENT;FAST;0.50
PY53;Titanate de nickel;#EBD98A;OPAQUE;MEDIUM;0.40
PY65;Jaune Hansa fonce;#F0A81B;SEMI_OPAQUE;SLOW;0.80
PY74;Jaune Hansa moyen;#F7C51B;SEMI_TRANSPARENT;SLOW;0.85
PY83;Jaune diarylide fonce;#D9971A;TRANSPARENT;SLOW;0.90
PY110;Jaune isoindolinone fonce;#E08A0A;TRANSPARENT;MEDIUM;0.85
